Date ,Description,Type,Amount_Spent,credit_debit
2023-08-22,amazon,Miscellaneous,14.76,Credit
2023-08-22,safeway bonfire,Motives,8.99,Credit
2023-08-23,thrift stores on haight,Shopping,39.65,Credit
2023-08-23,sf postcard,Travel,5.38,Credit
2023-08-23,whole foods ,Grocery,5.99,Credit
2023-08-24,key food market,Grocery,15.08,Credit
2023-08-23,et bhumika,Motives,11.57,Credit
2023-08-26,safeway ,Grocery,54.67,Credit
2023-08-28,safeway,Grocery,23.5,Credit
2023-08-28,amazon,Miscellaneous,50.34,Credit
2023-08-28,korean soul chicken,Motives,18.41,Credit
2023-08-28,shef ,Grocery,17.4,Credit
2023-08-28,starbucks,Takeout,5.75,Credit
2023-08-28,cafe reveille,Takeout,7.44,Credit
2023-09-01,YH beijing noodles,Takeout,17.38,Credit
2023-09-01,doordash dashpss ,Subscriptions,9.99,Credit
2023-09-03,clipper,School,20,Credit
2023-09-03,shef,Grocery,28.47,Credit
2023-09-03,doordash safeway,Grocery,37.37,Credit
2023-09-04,starbs,Takeout,5.75,Credit
2023-09-05,jai ho,Grocery,25.76,Credit
2023-09-05,fake whole foods,Grocery,5.99,Credit
2023-09-05,udupi dinner,Motives,20.77,Credit
2023-09-07,clipper,School,20,Credit
2023-09-07,boba guys,Takeout,6.46,Credit
2023-09-08,amazon,Miscellaneous,10.86,Credit
2023-09-08,usf printing,School,5,Credit
2023-09-11,shef,Grocery,25.81,Credit
2023-09-11,muni ticket ,School,2.5,Credit
2023-09-11,target ,Clothes Shopping,16.29,Credit
2023-09-11,tarragon cafe,Motives,15.39,Credit
2023-09-11,doordash zaatar,Takeout,19.43,Credit
2023-09-12,trader joes,Grocery,55.24,Credit
2023-09-13,clipper,School,20,Credit
2023-09-14,safeway,Grocery,14.97,Credit
2023-09-16,shef,Grocery,26.91,Credit
2023-09-18,safeway,Grocery,20.8,Credit
2023-09-18,tarragon cafe,Takeout,6.25,Credit
2023-09-19,bobs donuts,Motives,7,Credit
2023-09-20,usf coffee,Takeout,4.61,Credit
2023-09-21,misc hair stuff,Other Shopping,56.84,Credit
2023-09-21,key food,Grocery,3.59,Credit
2023-09-21,shef,Grocery,26.91,Credit
2023-09-21,trader joes ,Grocery,25.66,Credit
2023-09-21,clipper,School,20,Credit
2023-09-22,cafe coffee,Takeout,4.07,Credit
2023-09-22,4505 burgers,Motives,14.92,Credit
2023-09-26,fake whole foods,Grocery,10.48,Credit
2023-09-26,starbs,Takeout,5.45,Credit
2023-09-26,mau mau lunch,Takeout,15.82,Credit
2023-09-29,bangkok bowl,Takeout,20.07,Credit
2023-09-30,trader joes ,Grocery,60.37,Credit
2023-09-30,shef ,Grocery,25.81,Credit
2023-09-30,the bird ,Motives,19.09,Credit
2023-09-30,tarragon cafe,Takeout,6.43,Credit
2023-10-02,clipper,School,20,Credit
2023-10-03,cafe coffee,Takeout,3.2,Credit
2023-10-05,wingstop,Takeout,21.05,Credit
2023-10-09,trader joes ,Grocery,66.97,Credit
2023-10-10,shef ,Grocery,25.71,Credit
2023-10-10,starbucks,Takeout,6.7,Credit
2023-10-12,cafe coffee,Takeout,4.89,Credit
2023-10-12,tarragon,Takeout,3.8,Credit
2023-10-13,airport food ,Travel,16.02,Credit
2023-10-13,airport smoothie,Travel,9.14,Credit
2023-10-13,airport snack,Travel,5.99,Credit
2023-10-14,cineplex w tanya,Motives,8.72,Credit
2023-10-14,tswift shirts ,Motives,47.08,Credit
2023-10-16,clipper,School,20,Credit
2023-10-20,safeway ,Grocery,38.05,Credit
2023-10-23,amazon ,House,50.9,Credit
2023-10-23,tarragon,Takeout,4.56,Credit
2023-10-23,laundry,House,25,Credit
2023-10-23,six flags ,Motives,22.94,Credit
2023-10-23,starbucks,Takeout,5.75,Credit
2023-10-23,clipper,School,20,Credit
2023-10-23,safeway ,Grocery,21.27,Credit
2023-10-24,jai ho ,Grocery,31.39,Credit
2023-10-24,safeway ,Grocery,47.33,Credit
2023-10-26,amazon ,Miscellaneous,16.17,Credit
2023-10-26,random,Miscellaneous,30.23,Credit
2023-10-30,shef ,Grocery,5.84,Credit
2023-10-30,smoothie bowl ,Motives,8.96,Credit
2023-10-30,starbucks,Grocery,5.45,Credit
2023-10-30,trader joes ,Grocery,44.13,Credit
2023-10-31,halloween headband,Motives,3.99,Credit
2023-10-31,escape from NY pizza,Motives,6.75,Credit
2023-10-27,Spotify,Subscriptions,12.67,Credit
2023-05-02,rifas bday gift ,Birthdays/Gifts,90.4,Credit
2023-05-02,starbs ,Fast Food,6.5,Credit
2023-05-04,flowers and lil cake for sheenz,Birthdays/Gifts,16.23,Credit
2023-05-05,solo date crepe :),Motives,10.7,Credit
